Date,Open,High,Low,Close,Volume
20100317,317.2289,317.7893,312.4199,312.4199,26266
20100318,313.6577,316.9780,313.3399,316.9780,23120
20100319,314.0508,315.9744,311.1235,311.3410,44533
20100322,311.1235,315.0126,311.1235,314.6362,14504
20100323,312.7963,316.7020,312.7963,316.3842,26406
20100324,316.3842,316.9780,313.8417,314.5108,18183
20100325,315.0628,318.8598,314.6780,317.1453,27569
20100326,317.1453,319.4871,312.7963,312.8799,18543
20100329,312.1774,314.0090,312.1774,313.0053,7302
20100330,312.2275,312.7963,311.1235,311.2741,12486
20100331,312.6123,320.1143,310.7137,319.4034,27326
20100401,318.3162,318.3162,313.3817,315.1380,14829
20100405,314.4606,317.4798,312.7963,312.7963,9636
20100406,312.7963,316.7271,312.7963,313.2813,11702
20100407,313.6410,314.1344,311.1235,311.1319,31008
20100408,312.2024,312.2024,304.0647,306.1054,44159
20100409,306.1054,313.6326,303.4291,313.6326,26081
20100412,313.6242,313.6995,310.2872,310.2872,18706
20100413,308.3469,317.7140,305.9465,310.2872,18511
20100414,310.2872,311.1905,307.1341,310.8308,28149
20100415,310.8308,310.8308,303.6884,305.9131,32889
20100416,306.0971,306.1472,304.8509,305.4447,8822
20100419,305.4447,313.1893,305.4447,313.1810,20006
20100420,313.1810,315.3053,311.1235,313.7162,26448
20100421,313.6326,314.2599,312.4366,314.1093,40775
20100422,314.1010,317.3962,312.8464,317.3962,21644
20100423,316.8860,321.0260,316.0246,316.9780,37426
20100426,316.9780,318.2911,311.1235,312.3697,16694
20100427,311.8177,313.3566,308.2549,308.2883,20747
20100428,311.1235,311.2908,307.7781,307.7781,31717
20100429,308.6647,309.9276,307.7029,307.7029,64888
20100430,313.2144,321.9961,313.2144,321.9961,49777
20100503,321.9961,324.0787,315.3053,315.3889,33999
20100504,316.0497,317.3962,312.7963,314.1344,24416
20100505,313.6242,318.8598,312.6541,315.9911,24420
20100506,316.1500,319.9805,312.8046,318.4667,82951
20100507,317.3878,317.3878,305.7291,311.0650,58370
20100510,315.2970,320.7416,313.2144,320.5576,33156
20100511,315.3137,325.0823,315.3137,321.2183,44729
20100512,321.2936,329.9164,321.2936,329.9164,33641
20100513,329.9415,332.2415,327.0812,332.2415,48784
20100514,331.9320,332.2415,319.9638,319.9638,37965
20100517,322.3307,328.1601,321.2518,325.1241,25292
20100518,327.0059,327.0059,322.8325,323.2507,12707
20100519,323.6689,324.4216,321.4525,322.3976,22750
20100520,322.3976,329.3310,320.4154,329.3310,82860
20100521,327.4910,336.2643,327.0143,333.2033,72817
20100525,330.3597,330.3597,320.4071,329.1470,83406
20100526,330.3680,338.3050,330.3680,332.8353,58926
20100527,333.6549,337.6694,332.1160,333.9644,30785
20100528,334.6920,335.8294,330.4600,331.2713,15000
20100531,334.5414,334.5414,324.7143,328.6870,16125
20100601,328.6870,332.8436,324.7812,329.7408,22535
20100602,328.1183,337.4269,326.2365,336.1974,52120
20100603,336.8581,341.8428,326.1863,326.5961,28057
20100604,326.1695,330.8531,321.9961,326.6546,16031
20100607,330.2677,338.7316,326.2699,335.6036,37197
20100608,339.4341,342.5454,337.4687,340.3959,77978
20100609,338.1712,340.3876,334.5414,335.3778,23899
20100610,335.3778,338.2214,335.3778,337.8869,10992
20100611,334.0313,337.0840,329.1553,329.4815,22432
20100614,330.0419,332.0408,329.5233,331.7731,10037
20100615,329.6153,330.3513,322.8325,328.2521,20038
20100616,331.1960,331.2797,326.8052,326.8052,14878
20100617,326.8554,330.6942,326.8554,329.2390,18212
20100618,328.6870,328.8877,325.0990,325.0990,30090
20100621,325.3499,330.1673,325.3499,327.8506,15806
20100622,328.9546,328.9546,324.7310,327.0143,20768
20100623,326.1779,327.8673,322.8074,323.6689,49006
20100624,323.3761,326.1528,323.3761,324.5554,14668
20100625,325.1659,331.1459,325.1659,331.1459,11666
20100628,331.1375,331.1375,323.6689,323.6689,9980
20100629,322.8409,330.3597,321.9961,326.8637,33973
20100630,329.6571,329.9331,325.5674,326.0775,40215
20100702,327.6499,330.6942,325.3416,330.3262,11403
20100705,327.8590,330.7779,327.8590,330.3597,14467
20100706,328.6870,338.7232,328.6870,334.5414,33490
20100707,335.7458,336.2142,332.8687,334.4578,27373
20100708,335.5283,339.5512,335.1185,339.0912,32230
20100709,339.8857,342.0686,338.7232,341.6505,17442
20100712,340.5214,344.1595,340.5214,344.1512,23698
20100713,343.7581,347.0868,343.3483,346.6686,31448
20100714,347.0868,347.7893,346.2420,346.7104,29920
20100715,346.6937,346.8944,345.6984,346.2504,30412
20100716,346.2002,347.0868,345.6984,346.1166,18782
